id,name,rating,review_count,categories,price,address,phone,image_url,url,latitude,longitude,distance
LUjq-_hs89D5N1UGcmKAQw,Spiga,4.8,82,"['Food Delivery Services', 'Italian', 'Personal Chefs']",$$,"57 W 84th St New York, NY 10024",+12128740008,https://s3-media3.fl.yelpcdn.com/bphoto/ekPoIjmpD52e9LqMmZzH5A/o.jpg,https://www.yelp.com/biz/spiga-new-york-2?adjust_creative=hgQT7I6pzaJGZpbBfLplFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hgQT7I6pzaJGZpbBfLplFw,40.7850762472345,-73.9728921619309,261.89135197745827
Ak_x6wJFehWnnitAk332QA,The Wolfe,4.3,67,"['American', 'Sports Bars', 'Cocktail Bars']",N/A,"425 Amsterdam Ave New York, NY 10024",+16468761004,https://s3-media3.fl.yelpcdn.com/bphoto/Z5_B-oqRpXbIzK6kFPwxPQ/o.jpg,https://www.yelp.com/biz/the-wolfe-new-york?adjust_creative=hgQT7I6pzaJGZpbBfLplFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hgQT7I6pzaJGZpbBfLplFw,40.783945,-73.977377,528.4908659071741
XsElXaLxUPKquI78poB8yw,Maison Pickle,4.3,2060,"['Cocktail Bars', 'Comfort Food', 'Breakfast & Brunch']",$$$,"2315 Broadway New York, NY 10024",+12124969100,https://s3-media2.fl.yelpcdn.com/bphoto/VNItExOEwTWw76YlWb67iQ/o.jpg,https://www.yelp.com/biz/maison-pickle-new-york?adjust_creative=hgQT7I6pzaJGZpbBfLplFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hgQT7I6pzaJGZpbBfLplFw,40.7870473,-73.9781361,730.527911410735
xt4sa64WOrpJvZBDPNPNYg,Jacob's Pickles,4.2,5794,"['Comfort Food', 'Southern', 'American']",$$$,"509 Amsterdam Ave New York, NY 10024",+12124705566,https://s3-media4.fl.yelpcdn.com/bphoto/UOq1Bl6hqcyHu5oMWAWRLg/o.jpg,https://www.yelp.com/biz/jacobs-pickles-new-york?adjust_creative=hgQT7I6pzaJGZpbBfLplFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hgQT7I6pzaJGZpbBfLplFw,40.7866504411994,-73.9755284786224,537.2777646044653
XujJhk-uQQezYgxyx-YN5Q,Parla,4.4,137,"['Pizza', 'Pasta Shops', 'Cocktail Bars']",$$,"320 Columbus Ave New York, NY 10023",+12127029006,https://s3-media2.fl.yelpcdn.com/bphoto/FghftxmD9Fkb-LDr0SQGNw/o.jpg,https://www.yelp.com/biz/parla-new-york?adjust_creative=hgQT7I6pzaJGZpbBfLplFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hgQT7I6pzaJGZpbBfLplFw,40.779604142118245,-73.9775782278624,662.9530331994356
UAMbfUodEHMAIHTltCtyLA,The Shell Restaurant,4.8,96,"['Seafood', 'Mediterranean', 'Cocktail Bars']",N/A,"635 Amsterdam Ave New York, NY 10025",+16466697628,https://s3-media1.fl.yelpcdn.com/bphoto/4frjb2rYLm7DA5zSMmTuRQ/o.jpg,https://www.yelp.com/biz/the-shell-restaurant-new-york?adjust_creative=hgQT7I6pzaJGZpbBfLplFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hgQT7I6pzaJGZpbBfLplFw,40.79059,-73.97244,842.9394372189873
DGhWO1sUWydVeR5j5ZZaMw,La Grande Boucherie,4.4,3805,"['French', 'Steakhouses', 'Cocktail Bars']",$$$,"145 W 53rd St New York, NY 10019",+12125107714,https://s3-media3.fl.yelpcdn.com/bphoto/b9URGcuuhnLq7J-__pHIng/o.jpg,https://www.yelp.com/biz/la-grande-boucherie-new-york-2?adjust_creative=hgQT7I6pzaJGZpbBfLplFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hgQT7I6pzaJGZpbBfLplFw,40.7626274,-73.98084109999999,2416.8838788023077
_Jgmhw0ywyoGyglPwB1xGA,Friend Of A Farmer - Upper West Side,4.2,87,"['American', 'Comfort Food', 'Breakfast & Brunch']",N/A,"68 West 71st St New York, NY 10023",+16464526868,https://s3-media4.fl.yelpcdn.com/bphoto/jWmrpRcHovqWTqOI0uXTxQ/o.jpg,https://www.yelp.com/biz/friend-of-a-farmer-upper-west-side-new-york?adjust_creative=hgQT7I6pzaJGZpbBfLplFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hgQT7I6pzaJGZpbBfLplFw,40.77642887433869,-73.9790569,993.9337681322475
h9nuvIu8TyrQcYy8J1AOxg,The Ellington,4.6,292,"['American', 'Bars', 'Venues & Event Spaces']",$$,"2745 Broadway New York, NY 10025",+12122813011,https://s3-media1.fl.yelpcdn.com/bphoto/rVD8_DWEjEJBnYVa3r_ggQ/o.jpg,https://www.yelp.com/biz/the-ellington-new-york-4?adjust_creative=hgQT7I6pzaJGZpbBfLplFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hgQT7I6pzaJGZpbBfLplFw,40.800868,-73.968243,1982.8804896705913
VmdyRRMtUXOWV7F7w0ImwQ,Piccola Cucina Uptown,4.4,531,['Sicilian'],$$$,"106 E 60th St New York, NY 10022",+16467073997,https://s3-media2.fl.yelpcdn.com/bphoto/rjkU9Ubtc4S40pZ_s9TBJQ/o.jpg,https://www.yelp.com/biz/piccola-cucina-uptown-new-york?adjust_creative=hgQT7I6pzaJGZpbBfLplFw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=hgQT7I6pzaJGZpbBfLplFw,40.763174,-73.969046,2223.0796844797587
